Wall time,Step,Value
1670465472.6763878,224,0.38215547800064087
1670465525.4118946,449,0.22754696011543274
1670465568.3173487,674,0.1623428463935852
1670465623.2781246,899,0.1320800483226776
1670465677.8535438,1124,0.10206987708806992
1670465721.3141985,1349,0.07744240760803223
1670465764.917566,1574,0.06274836510419846
1670465808.9609072,1799,0.047080934047698975
