epoch,level,accuracy,loss,f1_micro,f1_macro,f1_weighted
0,0,0.9193445481359959,0.1818177366318802,0.9190972222222222,0.9156478291584386,0.9176490914490488
0,1,0.9054851997229788,0.25369090649764986,0.9059895833333333,0.8995998734401331,0.9048468820750714
0,2,0.8394017228442762,0.43804996614344416,0.8530381944444444,0.8238414621886073,0.8495053667652731
1,0,0.9751854836940765,0.06676518781944954,0.9749131944444445,0.9739611383941439,0.9749288519223531
1,1,0.9120443736927377,0.2326421027071774,0.9125,0.9038712385214037,0.9095280456874105
1,2,0.8438036896236655,0.41941059400430986,0.8566840277777777,0.8259339786677932,0.8526207870648553
2,0,0.9880433387226528,0.03510381322246556,0.9881944444444445,0.9878474459052086,0.9881796566976442
2,1,0.9172400636805429,0.22153963834926899,0.9169270833333333,0.9109037678274844,0.9156267037822141
2,2,0.8449998450568981,0.4189452147525218,0.8532986111111112,0.8275885718771153,0.8508889098962148
3,0,0.9934625521302223,0.02045396723398072,0.9934027777777777,0.9931739833619859,0.993405004673534
3,1,0.9158713569243749,0.21700380261366567,0.9164930555555556,0.9101537673009766,0.915501292091277
3,2,0.8391444856921831,0.4241227624627451,0.8538194444444445,0.8224777615111735,0.851282846244673
4,0,0.9948355843623479,0.01630611762465782,0.9950520833333333,0.9948981978827053,0.9950404200288985
4,1,0.9149995620879862,0.2150234237856542,0.9157986111111112,0.9081091424657239,0.9149459919995732
4,2,0.8374515288147247,0.43540661062838304,0.8456597222222222,0.8187210158962342,0.8426385625045643
